Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Comments,Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle
196,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,,,01/13/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a matatu.,KPR,,,Motor vehicle was damaged.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,TRAFFIC ACCIDENT,6,GARISSA,601,GARISSA,,,11/14/2011 08:00:00 AM +0000,,Error,Pedestrian was knocked down by a bus,KPR,,,bus was damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,TRAFFIC ACCIDENT,6,GARISSA,601,GARISSA,60105,DADAAB,01/13/2011 08:00:00 AM +0000,Turn boy was run over by the rear Tyre.,Error,turn boy fell from a motor vehicle that was on motion,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,TRAFFIC ACCIDENT,26,MERU,2608,MERU CENTRAL,,,03/01/2011 08:00:00 AM +0000,,Negligence,Knocked down a pedestrian,KPR,,,Toyota Hilux pickup damaged,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206,TRAFFIC ACCIDENT,13,KIAMBU,1307,THIKA,130707,THIKA MUNICIPALITY,02/04/2011 08:00:00 AM +0000,,Negligence,Pedal cyclist,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,TRAFFIC ACCIDENT,26,MERU,2609,MERU NORTH,260914,TIGANIA NORTH,03/01/2011 08:00:00 AM +0000,Pedestrian suffered a fructured leg,Negligence,Motor cyclist hit a pedestrian,KPR,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300106,MAKADARA,02/04/2011 08:00:00 AM +0000,,Negligence,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311014,NJORO,02/04/2011 08:00:00 AM +0000,,Error,overtaking,KPR,,,,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
209,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,03/01/2011 08:00:00 AM +0000,,Error,Juvenile pedestrian knocked down,KPR,,,Damage to the station wagon vehicle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,TRAFFIC ACCIDENT,3,BUNGOMA,301,BUNGOMA EAST,,,02/04/2011 08:00:00 AM +0000,,Error,driver lost control of tractor,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,TRAFFIC ACCIDENT,11,KEIYO-MARAKWET,1109,MARAKWET,110902,KAPCHEROP,01/13/2011 08:00:00 AM +0000,,Error,Two motor cycles collided head on.,KPR,,,Two motor cycles were damaged. ,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
214,TRAFFIC ACCIDENT,10,KAKAMEGA,1003,BUTERE MUMIAS,100301,BUTERE,02/04/2011 08:00:00 AM +0000,,Error,,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,TRAFFIC ACCIDENT,13,KIAMBU,1301,KIAMBU,130103,KIKUYU,02/04/2011 08:00:00 AM +0000,,Error,Pedestrian walking along the road,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,TRAFFIC ACCIDENT,29,MURANGA,2903,MARAGUA,290304,MARAGUA,02/05/2011 08:00:00 AM +0000,,Error,motor cycle,KPR,,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
