290184247	20140319	201403	2014	2014.2164	COP	POLICE						COP			AUS	AUSTRALIAN	AUS								1	173	173	17	4	-5.0	1	1	1	1.03092783505155	4	Zamboanga, Zamboanga, Philippines	RP	RPG7	6.91025	122.072	-2460321	4	Zamboanga, Zamboanga, Philippines	RP	RPG7	6.91025	122.072	-2460321	4	Zamboanga, Zamboanga, Philippines	RP	RPG7	6.91025	122.072	-2460321	20140320	http://www.tempo.com.ph/2014/03/kfr-gang-leader-captured-in-pque/
290184248	20140319	201403	2014	2014.2164	COP	POLICE						COP			BGD	BANGLADESH	BGD								1	173	173	17	4	-5.0	1	1	1	0	4	Dhaka, Dhaka, Bangladesh	BG	BG81	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	23.7231	90.4086	-2737683	20140320	http://www.thedailystar.net/city/man-accused-of-trying-to-kill-hasina-lands-in-jail-16605
290184250	20140319	201403	2014	2014.2164	COP	POLICE						COP			CRM	DRUG LORD						CRM			1	173	173	17	4	-5.0	10	1	10	2.16049382716049	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	1	United Kingdom	UK	UK	54	-2	UK	20140320	http://www.lankanewspapers.com/news/2014/3/87237.html
290184251	20140319	201403	2014	2014.2164	COP	POLICE						COP			CRM	KIDNAPPER						CRM			1	181	181	18	4	-9.0	2	1	2	1.77777777777778	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	1	Benin	BN	BN	9.5	2.25	BN	20140320	http://leadership.ng/news/357528/police-foil-kidnap-attempt-pregnant-woman-kills-3
290184252	20140319	201403	2014	2014.2164	COP	POLICE						COP			CRM	KIDNAPPER						CRM			1	193	193	19	4	-10.0	2	1	2	1.77777777777778	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	20140320	http://leadership.ng/news/357528/police-foil-kidnap-attempt-pregnant-woman-kills-3
290184256	20140319	201403	2014	2014.2164	COP	POLICE						COP			EDU	STUDENT						EDU			1	173	173	17	4	-5.0	5	1	5	0.561797752808989	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	6.93194	79.8478	-2214877	20140320	http://colombogazette.com/2014/03/20/police-to-arrest-students-over-demo/
290184274	20140319	201403	2014	2014.2164	COP	PRISON						COP			GOV	MINIST OF INTERIOR						GOV			1	173	173	17	4	-5.0	20	2	20	1.70276497695852	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	9.08333	7.53333	-1997013	20140320	http://allafrica.com/stories/201403200224.html
290184277	20140319	201403	2014	2014.2164	COP	POLICE						COP			JUDJUD	CONSTITUTIONAL COURT						JUD	JUD		0	183	183	18	4	-10.0	20	2	20	1.98026790475891	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	13.75	100.517	-3250083	20140320	http://www.themalaymailonline.com/world/article/thai-court-could-declare-february-election-void
290184281	20140319	201403	2014	2014.2164	COP	POLICE						COP			NGA	BENIN CITY	NGA								1	181	181	18	4	-9.0	2	1	2	1.77777777777778	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	20140320	http://leadership.ng/news/357528/police-foil-kidnap-attempt-pregnant-woman-kills-3
290184282	20140319	201403	2014	2014.2164	COP	POLICE						COP			NGA	BENIN CITY	NGA								1	181	181	18	4	-9.0	2	1	2	1.77777777777778	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	1	Benin	BN	BN	9.5	2.25	BN	5	Edo State, Edo, Nigeria	NI	NI37	6.5	6	29623	20140320	http://leadership.ng/news/357528/police-foil-kidnap-attempt-pregnant-woman-kills-3
290184300	20140319	201403	2014	2014.2164	COP	POLICE						COP			SYR	SYRIAN	SYR								1	141	141	14	3	-6.5	2	1	2	2.40384615384615	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	20140320	http://news.gnom.es/news/in-our-pages-march-21
290184302	20140319	201403	2014	2014.2164	COP	POLICE						COP			SYRGOV	SYRIAN	SYR					GOV			1	141	141	14	3	-6.5	6	1	6	2.40384615384615	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	4	Damascus, Dimashq, Syria	SY	SY13	33.5	36.3	-2541260	20140320	http://news.gnom.es/news/in-our-pages-march-21
290184304	20140319	201403	2014	2014.2164	COP	POLICE						COP			UKR	UKRAINE	UKR								1	173	173	17	4	-5.0	8	1	8	0.605449041372351	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	4	Simferopol, Krym, Avtonomna Respublika, Ukraine	UP	UP11	44.9572	34.1108	-1054041	4	Crimea, Krym, Avtonomna Respublika, Ukraine	UP	UP11	45	34	-1043950	20140320	http://voiceofrussia.com/news/2014_03_20/Simferopol-shooter-detained-Crimean-1st-deputy-PM-8213/
290184309	20140319	201403	2014	2014.2164	CRM	GANG						CRM			COP	DETECTIVE						COP			1	173	173	17	4	-5.0	4	1	4	0.858369098712446	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	4	Merrylands, New South Wales, Australia	AS	AS02	-33.8333	150.983	-1587107	20140320	http://www.abc.net.au/news/2014-03-21/man-charged-over-fire-bombing-27linked27-to-bikie-feud/5336162
290184322	20140319	201403	2014	2014.2164	CVL	VOTER						CVL			UKR	CRIMEA	UKR								1	161	161	16	4	-4.0	20	2	20	1.94648354250533	1	Russia	RS	RS	60	100	RS	1	Russia	RS	RS	60	100	RS	1	Russia	RS	RS	60	100	RS	20140320	http://www.mynews3.com/content/news/story/Russian-lawmakers-officially-seal-annexation-of/oZO_ooQe70Cm2J6bza67Mg.cspx
290184335	20140319	201403	2014	2014.2164	DOMMED	DOMINICAN REPUBLIC	DOM					MED			BUS	COMPANY						BUS			1	141	141	14	3	-6.5	2	1	2	0.574712643678161	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	20140320	http://www.dominicantoday.com/dr/local/2014/3/20/50916/Wildcat-strike-halts-fuel-dispatch-from-Dominican-Republic-refinery
290184336	20140319	201403	2014	2014.2164	DOMMED	DOMINICAN REPUBLIC	DOM					MED			DOM	DOMINICAN REPUBLIC	DOM								1	173	173	17	4	-5.0	2	1	2	0.574712643678161	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	4	Caribe, MonseñNouel, Dominican Republic	DR	DR31	18.9677	-70.3831	-3348965	20140320	http://www.dominicantoday.com/dr/local/2014/3/20/50916/Wildcat-strike-halts-fuel-dispatch-from-Dominican-Republic-refinery
290184348	20140319	201403	2014	2014.2164	EDU	PUPIL						EDU													1	173	173	17	4	-5.0	5	1	5	1.06100795755968	1	Trinidad And Tobago	TD	TD	11	-61	TD	0							1	Trinidad And Tobago	TD	TD	11	-61	TD	20140320	http://www.trinidadexpress.com/news/Bail-for-9-male-pupils--involved-in-school-fight-251131401.html
290184355	20140319	201403	2014	2014.2164	EDU	COLLEGE						EDU			JUD	MAGISTRATE						JUD			1	173	173	17	4	-5.0	1	1	1	0.954653937947494	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	10.5167	-61.4167	-1359692	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	10.5167	-61.4167	-1359692	4	Arouca, Saint George, Trinidad And Tobago	TD	TD08	10.6288	-61.3349	-1359463	20140320	http://newsday.co.tt/news/0,192149.html
290184360	20140319	201403	2014	2014.2164	EDU	COLLEGE						EDU			TTO	TRINIDAD AND TOBAGO	TTO								1	173	173	17	4	-5.0	5	1	5	0.954653937947494	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	10.5167	-61.4167	-1359692	4	Arouca, Saint George, Trinidad And Tobago	TD	TD08	10.6288	-61.3349	-1359463	4	Arouca, Saint George, Trinidad And Tobago	TD	TD08	10.6288	-61.3349	-1359463	20140320	http://newsday.co.tt/news/0,192149.html
290184361	20140319	201403	2014	2014.2164	EDU	COLLEGE						EDU			TTO	TRINIDAD AND TOBAGO	TTO								1	173	173	17	4	-5.0	1	1	1	0.954653937947494	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	10.5167	-61.4167	-1359692	4	Arouca, Saint George, Trinidad And Tobago	TD	TD08	10.6288	-61.3349	-1359463	4	Chaguanas, Caroni, Trinidad And Tobago	TD	TD02	10.5167	-61.4167	-1359692	20140320	http://newsday.co.tt/news/0,192149.html
290184415	20140319	201403	2014	2014.2164	GBR	SHEFFIELD	GBR																		1	173	173	17	4	-5.0	30	2	30	1.31840520267524	4	South Yorkshire, United Kingdom (general), United Kingdom	UK	UK00	53.45	-1.25	-2608379	0							4	South Yorkshire, United Kingdom (general), United Kingdom	UK	UK00	53.45	-1.25	-2608379	20140320	http://www.nzherald.co.nz/technology/news/article.cfm?c_id=5&objectid=11223746
290184417	20140319	201403	2014	2014.2164	GBR	GLASGOW	GBR																		1	193	193	19	4	-10.0	10	1	10	6.66666666666667	4	Milngavie, East Dunbartonshire, United Kingdom	UK	UKU5	55.9333	-4.31667	-2603152	0							4	Milngavie, East Dunbartonshire, United Kingdom	UK	UKU5	55.9333	-4.31667	-2603152	20140320	http://www.heraldscotland.com/news/home-news/celebrity-visitor.23741778
290184428	20140319	201403	2014	2014.2164	GBR	BRITISH	GBR								PSE	PALESTINIAN	PSE								1	141	141	14	3	-6.5	2	1	2	2.74914089347079	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	20140320	http://www.breitbart.com/Breitbart-London/2014/03/20/Galloway-frosty-LSE-reception
290184429	20140319	201403	2014	2014.2164	GBR	BRITISH	GBR								PSE	PALESTINIAN	PSE								1	141	141	14	3	-6.5	2	1	2	2.74914089347079	1	United Kingdom	UK	UK	54	-2	UK	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	31.4167	34.3333	-797156	20140320	http://www.breitbart.com/Breitbart-London/2014/03/20/Galloway-frosty-LSE-reception
